Operación,R2,MAE,MSE,RMSE,Registros
RENTA,0.45174102400646554,7743.0962318840575,194316184.6045428,13939.734022015728,371
VENTA,0.18178102918022832,1774109.0478312224,6907420396964.992,2628197.1761960695,204
