Métrica,Regresión Lineal,Árbol de Decisión
R² Score,0.5271254189880061,0.45174102400646554
MAE,7543.213447119687,7743.0962318840575
MSE,167598139.56936663,194316184.6045428
RMSE,12945.970012686057,13939.734022015728
