Operación,R2,MAE,MSE,RMSE,Registros
RENTA,0.5271254189880061,7543.213447119687,167598139.56936663,12945.970012686057,371
VENTA,0.04962167416656593,2000516.461486556,8023112231336.049,2832509.881948525,204
