precio_real,precio_predicho
8950000.0,5173464.771428572
13400000.0,2416965.5268817204
1800000.0,5173464.771428572
8.0,2416965.5268817204
5690000.0,2416965.5268817204
2200000.0,2416965.5268817204
3000000.0,2416965.5268817204
6680000.0,5417894.736842105
6680000.0,6680000.0
1100000.0,2416965.5268817204
8.0,2416965.5268817204
6680000.0,5417894.736842105
6680000.0,5417894.736842105
2100000.0,1562509.0
2300000.0,2416965.5268817204
3700000.0,5173464.771428572
6500000.0,2416965.5268817204
4000000.0,2416965.5268817204
2300000.0,2416965.5268817204
1840000.0,2416965.5268817204
8300000.0,8300000.0
3565000.0,2416965.5268817204
6500000.0,5417894.736842105
2500000.0,2416965.5268817204
2950000.0,2416965.5268817204
6390000.0,5173464.771428572
1500000.0,5173464.771428572
3565000.0,2416965.5268817204
4.0,2416965.5268817204
2950000.0,2416965.5268817204
4.0,2416965.5268817204
2500000.0,5173464.771428572
4.0,2416965.5268817204
24.0,1562509.0
4000000.0,2416965.5268817204
3000000.0,2416965.5268817204
3000000.0,2416965.5268817204
1477000.0,2416965.5268817204
8200000.0,2416965.5268817204
3000000.0,2416965.5268817204
3565000.0,2416965.5268817204
