precio_real,precio_predicho
30000.0,25784.782608695652
10000.0,16587.5
8.0,16587.5
15000.0,16587.5
15000.0,16587.5
15000.0,16587.5
20000.0,16587.5
11000.0,16587.5
16000.0,16587.5
23000.0,16587.5
38500.0,38500.0
17000.0,16587.5
9500.0,16587.5
13000.0,25784.782608695652
23000.0,16587.5
23500.0,16587.5
12000.0,20545.454545454544
25000.0,20545.454545454544
20000.0,16587.5
9000.0,16587.5
26000.0,16587.5
11000.0,16587.5
23000.0,16587.5
60000.0,25784.782608695652
90000.0,90000.0
11000.0,16587.5
60000.0,25784.782608695652
38500.0,38500.0
19000.0,25784.782608695652
21500.0,90000.0
9000.0,16587.5
22000.0,16587.5
10000.0,16587.5
15000.0,25784.782608695652
90000.0,90000.0
9000.0,16587.5
12000.0,16587.5
25000.0,20545.454545454544
12000.0,16587.5
7500.0,16587.5
23000.0,16587.5
85000.0,90000.0
30000.0,16587.5
95000.0,90000.0
9000.0,16587.5
12500.0,16587.5
10000.0,20545.454545454544
18500.0,16587.5
12500.0,16587.5
12000.0,16587.5
7000.0,16587.5
15000.0,16587.5
15000.0,25784.782608695652
20000.0,16587.5
9000.0,16587.5
12000.0,16587.5
14000.0,16587.5
15000.0,16587.5
21500.0,90000.0
20000.0,16587.5
11500.0,16587.5
23000.0,16587.5
23000.0,16587.5
13500.0,16587.5
20000.0,16587.5
18500.0,16587.5
16000.0,16587.5
30000.0,25784.782608695652
25000.0,16587.5
18500.0,16587.5
20000.0,16587.5
20000.0,16587.5
18000.0,16587.5
30000.0,16587.5
30000.0,25784.782608695652
