precio_real,precio_predicho
8950000.0,6318142.582260221
13400000.0,4595079.797831947
1800000.0,6752065.706472639
8.0,-37167.062776743434
5690000.0,3526599.2968022265
2200000.0,3203312.7932321113
3000000.0,5029002.922044366
6680000.0,2335466.5448072744
6680000.0,7318925.85832031
1100000.0,3637235.91744453
8.0,-37167.062776743434
6680000.0,2335466.5448072744
6680000.0,2335466.5448072744
2100000.0,10119090.465712218
2300000.0,3203312.7932321113
3700000.0,6318142.582260221
6500000.0,3202093.901268241
4000000.0,3203312.7932321113
2300000.0,3203312.7932321113
1840000.0,3327481.256616546
8300000.0,8299999.999999991
3565000.0,5029002.922044366
6500000.0,5450296.333835384
2500000.0,3637235.91744453
2950000.0,3637235.91744453
6390000.0,6318142.582260221
1500000.0,1499999.9999999907
3565000.0,5029002.922044366
4.0,822320.5753466208
2950000.0,3637235.91744453
4.0,822320.5753466208
2500000.0,3077662.7262513665
4.0,822320.5753466208
24.0,3176320.4783135196
4000000.0,3203312.7932321113
3000000.0,5029002.922044366
3000000.0,5029002.922044366
1477000.0,1477000.0000000042
8200000.0,3203312.7932321113
3000000.0,5029002.922044366
3565000.0,5029002.922044366
