precio_real,precio_predicho
30000.0,22555.744755370724
10000.0,15279.472589756504
8.0,12753.887435114882
15000.0,22870.821178122253
15000.0,17654.816095242804
15000.0,22870.821178122253
20000.0,17969.892517994333
11000.0,11390.592035843278
16000.0,16760.969919532206
23000.0,12753.887435114882
38500.0,35224.879200024596
17000.0,17654.816095242804
9500.0,16760.969919532206
13000.0,22555.744755370724
23000.0,12753.887435114882
23500.0,24449.823885501275
12000.0,22746.868149007536
25000.0,23475.557427352833
20000.0,17654.816095242804
9000.0,17654.816095242804
26000.0,5595.817200004758
11000.0,19146.08309648022
23000.0,12753.887435114882
60000.0,22555.744755370724
90000.0,89999.99999999996
11000.0,18810.353371419562
60000.0,22555.744755370724
38500.0,35224.879200024596
19000.0,22555.744755370724
21500.0,79240.96066186031
9000.0,12753.887435114882
22000.0,22000.000000000033
10000.0,15279.472589756504
15000.0,22555.744755370724
90000.0,89999.99999999996
9000.0,17654.816095242804
12000.0,9340.336153659715
25000.0,23475.557427352833
12000.0,17654.816095242804
7500.0,12753.887435114882
23000.0,12753.887435114882
85000.0,89999.99999999996
30000.0,23970.03103624748
95000.0,89999.99999999996
9000.0,17654.816095242804
12500.0,12025.1152526228
10000.0,23790.63385010436
18500.0,16760.969919532206
12500.0,12753.887435114882
12000.0,9340.336153659715
7000.0,12753.887435114882
15000.0,17969.892517994333
15000.0,21661.898579660126
20000.0,7852.9587749869615
9000.0,11860.041259404286
12000.0,17654.816095242804
14000.0,12753.887435114882
15000.0,21677.309080396582
21500.0,79240.96066186031
20000.0,17969.892517994333
11500.0,9340.336153659715
23000.0,18810.353371419562
23000.0,12753.887435114882
13500.0,22870.821178122253
20000.0,17952.57099875455
18500.0,16760.969919532206
16000.0,17654.816095242804
30000.0,22555.744755370724
25000.0,21976.975002411655
18500.0,16760.969919532206
20000.0,16760.969919532206
20000.0,17952.57099875455
18000.0,24449.823885501275
30000.0,23555.977709790677
30000.0,22555.744755370724
